[2023-02-07T20:01:08.131] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:08.348] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:08.806] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:09.732] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:09.883] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:11.066] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:12.154] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:31.362] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:32.790] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:33.214] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:34.520] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:36.009] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:36.490] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:36.938] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:38.068] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:05:40.992] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:31.681] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:31.934] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:32.517] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:33.306] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:33.658] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:34.016] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:34.933] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:35.398] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:36.079] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:37.006] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:37.925] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:38.619] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:39.018] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:39.232] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:40.585] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:42.023] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:42.379] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:43.542] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:44.032] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:44.292] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
